iter	Passed	Remaining
0	2	219
1	4	218
2	6	221
3	8	207
4	11	223
5	14	222
6	16	215
7	18	208
8	20	207
9	22	204
10	25	203
11	28	211
12	30	207
13	32	202
14	35	200
15	38	201
16	41	200
17	44	200
18	47	201
19	49	198
20	52	198
21	55	197
22	58	196
23	62	198
24	65	195
25	67	192
26	71	192
27	73	189
28	76	186
29	78	182
30	80	178
31	82	174
32	85	172
33	88	171
34	90	167
35	92	164
36	94	161
37	97	158
38	99	155
39	102	153
40	104	149
41	105	145
42	108	143
43	110	140
44	112	137
45	115	135
46	118	133
47	120	130
48	123	128
49	125	125
50	127	122
51	130	120
52	133	118
53	136	115
54	137	112
55	139	109
56	142	107
57	143	104
58	146	101
59	149	99
60	151	96
61	153	94
62	156	91
63	158	89
64	161	87
65	165	85
66	168	82
67	170	80
68	173	77
69	175	75
70	179	73
71	182	70
72	184	68
73	186	65
74	190	63
75	192	60
76	195	58
77	197	55
78	199	53
79	201	50
80	203	47
81	204	44
82	206	42
83	208	39
84	209	37
85	211	34
86	213	31
87	215	29
88	217	26
89	218	24
90	220	21
91	222	19
92	224	16
93	226	14
94	227	11
95	229	9
96	231	7
97	232	4
98	234	2
99	236	0
