iter	Passed	Remaining
0	161	161770
1	164	82243
2	167	55500
3	169	42311
4	172	34352
5	175	29008
6	176	25068
7	179	22216
8	181	19953
9	182	18099
10	186	16757
11	188	15557
12	189	14423
13	191	13505
14	192	12645
15	193	11883
16	194	11271
17	196	10743
18	198	10255
19	200	9844
20	204	9550
21	207	9207
22	208	8862
23	210	8567
24	211	8257
25	212	7977
26	214	7737
27	216	7499
28	217	7278
29	218	7067
30	219	6874
31	220	6678
32	221	6497
33	223	6362
34	224	6201
35	225	6051
36	227	5908
37	228	5777
38	229	5657
39	230	5530
40	231	5411
41	232	5298
42	233	5190
43	233	5082
44	234	4976
45	235	4878
46	236	4790
47	236	4699
48	237	4611
49	238	4526
50	238	4446
51	239	4370
52	240	4298
53	241	4232
54	242	4165
55	243	4099
56	243	4033
57	244	3970
58	245	3910
59	245	3850
60	246	3791
61	246	3733
62	247	3678
63	247	3625
64	248	3573
65	248	3522
66	249	3472
67	249	3424
68	250	3378
69	250	3333
70	251	3289
71	252	3254
72	253	3214
73	253	3175
74	254	3136
75	255	3104
76	256	3070
77	257	3044
78	258	3010
79	258	2975
80	259	2942
81	259	2909
82	260	2874
83	260	2842
84	261	2812
85	261	2782
86	262	2752
87	262	2723
88	263	2695
89	263	2667
90	264	2640
91	264	2613
92	265	2587
93	265	2561
94	266	2536
95	266	2511
96	267	2488
97	267	2466
98	268	2444
99	269	2422
100	269	2400
101	270	2379
102	270	2358
103	271	2339
104	272	2320
105	273	2303
106	273	2284
107	274	2264
108	274	2246
109	275	2227
110	275	2210
111	276	2192
112	277	2174
113	277	2158
114	278	2140
115	278	2123
116	279	2106
117	279	2090
118	280	2074
119	280	2058
120	281	2043
121	281	2027
122	282	2013
123	283	1999
124	283	1984
125	284	1972
126	284	1957
127	285	1943
128	286	1931
129	286	1918
130	287	1905
131	287	1893
132	288	1879
133	288	1866
134	289	1854
135	290	1842
136	290	1829
137	290	1817
138	291	1805
139	292	1794
140	292	1783
141	293	1770
142	293	1759
143	294	1748
144	294	1737
145	295	1726
146	295	1715
147	296	1704
148	296	1694
149	297	1684
150	297	1674
151	298	1664
152	299	1655
153	299	1646
154	300	1640
155	301	1631
156	302	1622
157	302	1613
158	303	1604
159	304	1596
160	304	1586
161	305	1578
162	305	1569
163	306	1560
164	306	1551
165	307	1542
166	307	1534
167	308	1526
168	308	1517
169	309	1509
170	309	1502
171	310	1494
172	310	1486
173	311	1478
174	312	1472
175	312	1465
176	313	1457
177	313	1449
178	314	1442
179	314	1434
180	315	1427
181	316	1420
182	316	1414
183	317	1407
184	318	1400
185	318	1394
186	319	1387
187	319	1380
188	320	1373
189	320	1367
190	321	1360
191	321	1353
192	322	1346
193	322	1340
194	323	1333
195	323	1327
196	324	1321
197	324	1314
198	325	1308
199	325	1302
200	326	1296
201	326	1290
202	327	1283
203	328	1280
204	328	1275
205	329	1269
206	329	1263
207	330	1257
208	330	1252
209	331	1247
210	332	1242
211	332	1237
212	333	1232
213	334	1227
214	334	1222
215	335	1216
216	335	1211
217	336	1206
218	336	1200
219	337	1195
220	337	1190
221	338	1185
222	338	1180
223	339	1175
224	339	1170
225	340	1167
226	341	1162
227	341	1157
228	342	1153
229	342	1148
230	343	1143
231	343	1138
232	344	1134
233	344	1129
234	345	1124
235	345	1119
236	346	1116
237	347	1112
238	347	1108
239	348	1103
240	349	1099
241	349	1094
242	349	1090
243	350	1085
244	350	1081
245	351	1077
246	352	1073
247	352	1069
248	353	1065
249	353	1060
250	354	1056
251	354	1052
252	355	1048
253	355	1044
254	356	1040
255	356	1036
256	358	1035
257	358	1031
258	359	1027
259	359	1024
260	360	1020
261	361	1017
262	361	1013
263	362	1010
264	363	1007
265	363	1004
266	364	1000
267	365	997
268	365	994
269	366	990
270	366	987
271	367	983
272	368	980
273	368	976
274	369	974
275	370	970
276	370	967
277	372	966
278	372	963
279	373	959
280	373	956
281	374	953
282	374	950
283	375	946
284	376	943
285	376	940
286	377	937
287	378	935
288	378	932
289	379	929
290	380	926
291	380	923
292	381	921
293	382	918
294	383	915
295	383	912
296	384	909
297	384	906
298	385	903
299	385	900
300	386	897
301	387	894
302	387	891
303	388	888
304	388	886
305	389	883
306	390	881
307	390	878
308	391	875
309	392	873
310	393	870
311	393	868
312	394	865
313	394	862
314	395	860
315	396	857
316	396	854
317	397	851
318	397	849
319	398	846
320	398	843
321	399	842
322	400	839
323	401	837
324	401	834
325	402	832
326	403	830
327	404	828
328	404	825
329	405	823
330	405	820
331	406	817
332	407	815
333	407	813
334	408	810
335	408	808
336	409	805
337	410	804
338	411	801
339	411	799
340	412	797
341	413	794
342	413	792
343	414	789
344	414	787
345	415	785
346	416	784
347	417	781
348	417	779
349	418	777
350	418	774
351	419	772
352	419	769
353	420	767
354	421	764
355	421	762
356	422	760
357	423	758
358	423	756
359	424	754
360	424	751
361	425	749
362	425	747
363	426	744
364	426	742
365	427	740
366	427	737
367	428	735
368	428	733
369	429	731
370	429	728
371	430	726
372	431	724
373	431	722
374	432	720
375	432	718
376	433	716
377	433	714
378	434	712
379	435	709
380	436	708
381	437	707
382	437	705
383	438	703
384	438	701
385	439	699
386	440	697
387	440	695
388	441	693
389	441	691
390	442	689
391	443	687
392	443	685
393	444	683
394	444	681
395	445	679
396	445	677
397	446	675
398	446	673
399	447	671
400	448	669
401	448	667
402	449	665
403	449	663
404	450	661
405	451	659
406	451	658
407	452	656
408	453	654
409	453	653
410	454	651
411	455	649
412	455	647
413	456	645
414	456	643
415	457	642
416	458	640
417	458	638
418	459	636
419	459	634
420	460	633
421	460	631
422	461	629
423	462	627
424	463	626
425	463	625
426	464	623
427	465	622
428	466	620
429	467	619
430	467	617
431	468	616
432	469	614
433	469	612
434	470	610
435	470	609
436	471	607
437	472	606
438	473	605
439	474	603
440	474	602
441	475	600
442	476	598
443	476	596
444	477	595
445	477	593
446	478	591
447	478	590
448	479	588
449	480	586
450	480	585
451	481	583
452	482	582
453	482	580
454	483	579
455	484	577
456	484	576
457	485	574
458	486	573
459	486	571
460	487	570
461	488	568
462	488	566
463	489	565
464	490	564
465	491	563
466	492	562
467	493	560
468	493	558
469	494	557
470	494	555
471	495	553
472	495	552
473	496	550
474	496	548
475	497	547
476	498	546
477	498	544
478	499	543
479	499	541
480	500	539
481	501	538
482	501	536
483	502	535
484	502	533
485	503	532
486	504	531
487	504	529
488	505	528
489	505	526
490	506	524
491	506	523
492	507	521
493	507	520
494	508	518
495	508	517
496	509	515
497	509	513
498	510	512
499	510	510
500	511	509
501	511	507
502	512	506
503	513	505
504	514	504
505	514	502
506	515	501
507	515	499
508	516	498
509	516	496
510	517	495
511	518	493
512	518	492
513	519	490
514	519	489
515	520	487
516	520	486
517	520	484
518	521	483
519	522	481
520	522	480
521	523	478
522	523	477
523	523	475
524	524	474
525	525	473
526	525	471
527	526	470
528	526	468
529	527	467
530	527	466
531	528	465
532	529	463
533	529	462
534	530	460
535	530	459
536	531	458
537	532	456
538	532	455
539	533	454
540	533	452
541	534	451
542	534	449
543	535	448
544	535	447
545	536	445
546	536	444
547	537	443
548	537	441
549	538	440
550	538	438
551	539	437
552	539	436
553	540	434
554	540	433
555	541	432
556	541	430
557	542	429
558	542	428
559	543	427
560	544	425
561	544	424
562	545	423
563	545	421
564	546	420
565	546	419
566	547	417
567	547	416
568	548	415
569	548	414
570	549	412
571	549	411
572	550	410
573	550	408
574	551	407
575	551	406
576	552	404
577	552	403
578	553	402
579	553	400
580	554	399
581	554	398
582	555	397
583	555	395
584	556	394
585	556	393
586	557	392
587	558	391
588	558	389
589	559	388
590	559	387
591	560	386
592	560	384
593	561	383
594	561	382
595	562	381
596	562	379
597	563	378
598	563	377
599	564	376
600	565	375
601	566	374
602	566	373
603	567	371
604	567	370
605	568	369
606	568	368
607	569	367
608	570	366
609	570	364
610	571	363
